thread-download-10MB-1c-1s,download,10,1,1,0.113,92408553.92,1/1,1/1
thread-download-10MB-1c-5s,download,10,1,5,0.12,87641215.07,1/1,1/5
thread-download-10MB-1c-50s,download,10,1,50,0.112,93742199.13,1/1,1/50
thread-download-10MB-5c-1s,download,10,5,1,0.436,120316685.9,5/5,5/1
thread-download-10MB-5c-5s,download,10,5,5,0.406,128995625.43,5/5,5/5
thread-download-10MB-5c-50s,download,10,5,50,0.379,138169785.28,5/5,5/50
thread-download-10MB-50c-1s,download,10,50,1,4.163,125954075.16,50/50,50/1
thread-download-10MB-50c-5s,download,10,50,5,3.161,165874372.01,50/50,50/5
thread-download-10MB-50c-50s,download,10,50,50,3.543,147978729.21,50/50,50/50
thread-download-50MB-1c-1s,download,50,1,1,0.84,62442715.46,1/1,1/1
thread-download-50MB-1c-5s,download,50,1,5,0.848,61831279.03,1/1,1/5
thread-download-50MB-1c-50s,download,50,1,50,0.823,63701915.72,1/1,1/50
thread-download-50MB-5c-1s,download,50,5,1,3.577,73277013.89,5/5,5/1
thread-download-50MB-5c-5s,download,50,5,5,3.53,74263833.53,5/5,5/5
thread-download-50MB-5c-50s,download,50,5,50,4.142,63291535.33,5/5,5/50
thread-download-50MB-50c-1s,download,50,50,1,34.825,75274612.01,50/50,50/1
thread-download-50MB-50c-5s,download,50,50,5,32.632,80332489.54,50/50,50/5
thread-download-50MB-50c-50s,download,50,50,50,37.393,70105340.58,50/50,50/50
thread-download-100MB-1c-1s,download,100,1,1,2.285,45883678.81,1/1,1/1
thread-download-100MB-1c-5s,download,100,1,5,2.346,44704044.78,1/1,1/5
thread-download-100MB-1c-50s,download,100,1,50,2.374,44169781.21,1/1,1/50
thread-download-100MB-5c-1s,download,100,5,1,10.673,49124166.16,5/5,5/1
thread-download-100MB-5c-5s,download,100,5,5,11.159,46984214.83,5/5,5/5
thread-download-100MB-5c-50s,download,100,5,50,11.596,45213481.05,5/5,5/50
thread-download-100MB-50c-1s,download,100,50,1,104.489,50176423.27,50/50,50/1
thread-download-100MB-50c-5s,download,100,50,5,102.894,50954003.66,50/50,50/5
thread-download-100MB-50c-50s,download,100,50,50,111.069,47203984.73,50/50,50/50
process-upload-10MB-1c-1s,upload,10,1,1,0.415,25274967.31,1/1,1/1
process-upload-10MB-1c-5s,upload,10,1,5,0.398,26356993.32,1/1,1/5
process-upload-10MB-1c-50s,upload,10,1,50,0.457,22921928.73,1/1,1/50
process-upload-10MB-5c-1s,upload,10,5,1,1.878,27923643.87,5/5,5/1
process-upload-10MB-5c-5s,upload,10,5,5,1.613,32501803.26,5/5,5/5
process-upload-10MB-5c-50s,upload,10,5,50,1.477,35506681.86,5/5,5/50
process-upload-10MB-50c-1s,upload,10,50,1,16.243,30987610.96,48/50,50/1
